Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2015-02-16 00:00:00,426.431,727064.855,2016-04-25 00:00:00,327.1966247558594,-169194.61,-23.271,TSL hit
2017-01-09 00:00:00,379.472,557823.84,2020-03-09 00:00:00,456.9997863769531,113965.846,20.43,TSL hit
2020-07-13 00:00:00,577.763,671938.3690000001,2022-05-23 00:00:00,992.7493286132812,482629.1,71.826,TSL hit
2009-05-25 00:00:00,131.058,99997.254,2011-01-31 00:00:00,185.4332885742188,41488.345,41.489,TSL hit
2011-06-27 00:00:00,231.46,141422.06,2011-11-21 00:00:00,199.3724822998047,-19605.473,-13.863,TSL hit
2012-02-06 00:00:00,239.441,121875.469,2013-08-12 00:00:00,276.4520568847656,18838.628,15.457,TSL hit
2014-03-10 00:00:00,344.284,140467.872,2016-02-08 00:00:00,464.1137084960938,48890.521,34.805,TSL hit
2016-04-25 00:00:00,541.012,189354.2,2020-03-09 00:00:00,1052.947265625,179177.343,94.625,TSL hit
2020-11-02 00:00:00,1287.05,368096.3,2022-02-28 00:00:00,1350.794311523438,18230.873,4.953,TSL hit
2019-07-22 00:00:00,496.242,99744.642,2020-03-09 00:00:00,504.2459716796875,1608.798,1.613,TSL hit
2020-11-09 00:00:00,632.458,101193.28,2021-12-20 00:00:00,635.570556640625,498.009,0.492,TSL hit
2009-07-13 00:00:00,417.205,99711.995,2018-01-15 00:00:00,1770.952270507812,323545.598,324.48,Target hit
2018-01-22 00:00:00,1777.519,423049.522,2018-09-24 00:00:00,1650.968505859375,-30119.018,-7.12,TSL hit
2019-04-01 00:00:00,1941.16,392114.32,2022-02-07 00:00:00,2395.60107421875,91797.097,23.411,TSL hit
2009-02-09 00:00:00,595.919,99518.473,2010-08-30 00:00:00,1170.58837890625,95969.786,96.434,TSL hit
2011-08-15 00:00:00,1422.995,194950.315,2013-03-25 00:00:00,1146.631958007812,-37861.737,-19.421,TSL hit
2013-08-12 00:00:00,1476.308,157964.956,2015-04-13 00:00:00,1915.134887695312,46954.477,29.725,TSL hit
2016-02-29 00:00:00,2278.42,205057.8,2017-12-04 00:00:00,2965.55810546875,61842.429,30.159,TSL hit
2020-08-10 00:00:00,2661.591,266159.1,2021-08-16 00:00:00,2573.3935546875,-8819.745,-3.314,TSL hit
2009-09-07 00:00:00,111.211,99978.689,2011-06-13 00:00:00,154.7567901611328,39147.665,39.156,TSL hit
2014-03-03 00:00:00,117.936,139046.544,2015-03-09 00:00:00,125.4546813964844,8864.525,6.375,TSL hit
2016-06-27 00:00:00,120.464,147929.792,2018-03-05 00:00:00,214.9715118408203,116055.225,78.453,TSL hit
2019-12-30 00:00:00,213.867,263911.878,2020-02-24 00:00:00,154.0397491455078,-73826.828,-27.974,TSL hit
2020-11-16 00:00:00,214.069,190093.272,2022-05-09 00:00:00,388.0,154450.728,81.25,TSL hit
2009-02-09 00:00:00,35.487,99966.879,2010-03-22 00:00:00,37.50373458862305,5681.141,5.683,TSL hit
2010-06-28 00:00:00,57.471,105631.698,2011-02-21 00:00:00,38.651,-34591.16,-32.747,Stop loss hit
2013-01-14 00:00:00,47.817,71056.062,2013-06-10 00:00:00,34.56303405761719,-19695.393,-27.718,TSL hit
2014-03-24 00:00:00,42.371,51353.652,2016-02-08 00:00:00,102.0656585693359,72349.926,140.886,TSL hit
2016-05-23 00:00:00,141.479,123652.646,2018-01-22 00:00:00,281.5986022949219,122464.532,99.039,TSL hit
2019-05-20 00:00:00,238.815,245979.45,2020-02-24 00:00:00,160.846,-80308.07,-32.648,Stop loss hit
2021-02-15 00:00:00,207.776,165805.24800000002,2022-05-09 00:00:00,258.1499938964844,40198.447,24.244,TSL hit
2009-06-22 00:00:00,208.356,99802.524,2010-02-01 00:00:00,181.3240966796875,-12948.282,-12.974,TSL hit
2010-09-13 00:00:00,226.039,87025.015,2013-12-02 00:00:00,482.7755737304688,98843.581,113.581,TSL hit
2014-07-21 00:00:00,579.363,185396.16000000003,2016-11-07 00:00:00,733.0677490234375,49185.52,26.53,TSL hit
2017-04-24 00:00:00,854.857,234230.818,2021-12-13 00:00:00,2191.163330078125,366147.934,156.319,TSL hit
2014-09-01 00:00:00,282.133,99875.082,2018-01-22 00:00:00,1159.438110351562,310566.009,310.954,Target hit
2018-07-30 00:00:00,1175.213,410149.337,2018-09-24 00:00:00,736.581,-153082.568,-37.324,Stop loss hit
2021-05-31 00:00:00,261.35,257429.75000000003,2022-02-07 00:00:00,197.8500061035156,-62547.494,-24.297,TSL hit
2009-06-01 00:00:00,114.649,99973.928,2011-08-08 00:00:00,148.9760437011719,29933.182,29.941,TSL hit
2012-08-13 00:00:00,155.637,129801.258,2013-07-22 00:00:00,153.209228515625,-2024.761,-1.56,TSL hit
2014-03-10 00:00:00,199.827,127889.28,2015-06-01 00:00:00,241.1435394287109,26442.585,20.676,TSL hit
2016-10-17 00:00:00,244.435,154238.48500000002,2017-10-16 00:00:00,251.8931121826172,4706.069,3.051,TSL hit
2017-10-30 00:00:00,308.602,158930.03,2020-03-16 00:00:00,344.6907348632812,18585.698,11.694,TSL hit
2021-02-01 00:00:00,612.357,177583.53,2022-03-07 00:00:00,677.9000244140625,19007.477,10.703,TSL hit
2010-09-13 00:00:00,45.8,99981.4,2011-02-07 00:00:00,37.78549575805664,-17495.663,-17.499,TSL hit
2011-06-13 00:00:00,46.097,82467.533,2014-02-10 00:00:00,78.86695098876953,58625.442,71.089,TSL hit
2015-03-09 00:00:00,108.573,141036.327,2015-09-21 00:00:00,83.36688995361328,-32742.737,-23.216,TSL hit
2017-02-20 00:00:00,72.115,108316.73,2017-05-01 00:00:00,49.443,-34053.344,-31.439,Stop loss hit
2020-08-31 00:00:00,12.05,74324.40000000001,2020-10-12 00:00:00,8.05,-24672.0,-33.195,Stop loss hit
2021-01-11 00:00:00,13.65,49658.7,2021-03-22 00:00:00,9.1,-16552.9,-33.333,Stop loss hit
2021-11-29 00:00:00,14.45,33104.95,2022-03-21 00:00:00,10.1,-9965.85,-30.104,Stop loss hit
2009-06-01 00:00:00,46.475,99967.725,2011-01-10 00:00:00,55.75805282592773,19967.847,19.974,TSL hit
2012-09-17 00:00:00,59.563,119959.882,2013-06-24 00:00:00,49.50094223022461,-20264.984,-16.893,TSL hit
2014-05-19 00:00:00,57.742,99662.692,2015-08-24 00:00:00,56.69604110717773,-1805.325,-1.811,TSL hit
2016-09-26 00:00:00,59.355,97876.395,2018-01-29 00:00:00,46.52242660522461,-21160.914,-21.62,TSL hit
2020-11-23 00:00:00,41.11,76711.26,2021-08-16 00:00:00,43.42145156860352,4313.169,5.623,TSL hit
2021-11-08 00:00:00,61.862,81039.22,2022-06-13 00:00:00,44.70000076293945,-22482.219,-27.742,TSL hit
2009-06-08 00:00:00,67.622,99945.316,2010-11-29 00:00:00,275.2726135253906,306907.607,307.076,Target hit
2012-01-23 00:00:00,274.005,406897.425,2016-06-27 00:00:00,1099.145629882812,1225333.835,301.141,Target hit
2016-07-04 00:00:00,1102.423,1631586.04,2018-09-17 00:00:00,1744.580200195312,950392.656,58.25,TSL hit
2021-09-13 00:00:00,1130.0,2582050.0,2021-11-22 00:00:00,901.7999877929688,-521437.028,-20.195,TSL hit
2009-06-08 00:00:00,164.345,99921.76,2011-05-23 00:00:00,270.4961853027344,64539.921,64.59,TSL hit
2013-02-25 00:00:00,289.426,164393.968,2014-05-05 00:00:00,314.5218811035156,14254.46,8.671,TSL hit
2014-09-29 00:00:00,394.248,178594.34399999998,2016-08-15 00:00:00,437.2234802246094,19467.893,10.901,TSL hit
2017-12-11 00:00:00,455.664,198213.84,2019-10-21 00:00:00,600.5958251953125,63045.344,31.807,TSL hit
2020-07-13 00:00:00,867.063,260985.963,2022-04-18 00:00:00,1568.835327148438,211233.47,80.937,TSL hit
2009-05-18 00:00:00,23.627,99989.464,2011-11-07 00:00:00,27.4493579864502,16176.219,16.178,TSL hit
2013-01-07 00:00:00,28.403,116168.27,2013-06-17 00:00:00,23.43041229248047,-20337.884,-17.507,TSL hit
2014-05-12 00:00:00,33.665,95810.59,2016-02-08 00:00:00,39.07846832275391,15406.731,16.08,TSL hit
2016-06-27 00:00:00,51.593,111234.508,2018-03-19 00:00:00,82.17749786376953,65940.177,59.28,TSL hit
2019-05-27 00:00:00,86.298,177169.794,2019-08-12 00:00:00,65.81137084960938,-42059.05,-23.739,TSL hit
2021-02-15 00:00:00,57.963,135111.753,2022-06-13 00:00:00,69.46666717529297,26815.048,19.847,TSL hit
2009-06-08 00:00:00,47.476,99984.456,2011-01-31 00:00:00,76.65145874023438,61443.516,61.453,TSL hit
2011-03-28 00:00:00,91.431,161375.715,2015-03-16 00:00:00,174.2633819580078,146199.154,90.596,TSL hit
2016-05-23 00:00:00,195.039,307576.503,2016-11-14 00:00:00,186.5642852783203,-13364.625,-4.345,TSL hit
2017-01-30 00:00:00,223.574,294223.384,2017-09-25 00:00:00,214.691650390625,-11689.172,-3.973,TSL hit
2018-07-23 00:00:00,256.273,282412.846,2019-08-05 00:00:00,219.4432373046875,-40586.398,-14.371,TSL hit
2021-02-01 00:00:00,212.71,241851.27,,,,,
2009-06-01 00:00:00,372.117,99727.356,2011-07-25 00:00:00,578.100830078125,55203.666,55.355,TSL hit
2014-05-19 00:00:00,298.588,154967.17200000002,2014-08-25 00:00:00,232.4850769042969,-34307.417,-22.139,TSL hit
2017-01-30 00:00:00,91.098,120887.046,2018-07-16 00:00:00,182.9946899414062,121946.908,100.877,TSL hit
